iter	Passed	Remaining
748	5590	1873
749	5597	1865
750	5605	1858
751	5614	1851
752	5623	1844
753	5631	1837
754	5639	1830
755	5647	1822
756	5657	1816
757	5665	1808
758	5673	1801
759	5679	1793
760	5687	1786
761	5695	1778
762	5702	1771
763	5709	1763
764	5717	1756
765	5724	1748
766	5732	1741
767	5739	1733
768	5745	1725
769	5752	1718
770	5759	1710
771	5766	1703
772	5774	1695
773	5782	1688
774	5790	1681
775	5798	1673
776	5805	1666
777	5815	1659
778	5824	1652
779	5831	1644
780	5839	1637
781	5847	1630
782	5855	1622
783	5863	1615
784	5871	1608
785	5881	1601
786	5888	1593
787	5895	1586
788	5903	1578
789	5911	1571
790	5920	1564
791	5928	1556
792	5936	1549
793	5943	1542
794	5951	1534
795	5960	1527
796	5969	1520
797	5977	1513
798	5986	1506
799	5994	1498
800	6001	1491
801	6009	1483
802	6024	1477
803	6037	1471
804	6047	1464
805	6059	1458
806	6071	1452
807	6080	1444
808	6088	1437
809	6098	1430
810	6108	1423
811	6117	1416
812	6128	1409
813	6137	1402
814	6148	1395
815	6156	1388
816	6164	1380
817	6173	1373
818	6181	1366
819	6189	1358
820	6197	1351
821	6205	1343
822	6213	1336
823	6221	1328
824	6228	1321
825	6236	1313
826	6244	1306
827	6253	1299
828	6261	1291
829	6270	1284
830	6278	1276
831	6286	1269
832	6294	1261
833	6301	1254
834	6308	1246
835	6315	1238
836	6321	1231
837	6329	1223
838	6336	1216
839	6344	1208
840	6351	1200
841	6359	1193
842	6366	1185
843	6373	1178
844	6380	1170
845	6386	1162
846	6393	1154
847	6401	1147
848	6409	1140
849	6417	1132
850	6424	1124
851	6431	1117
852	6441	1110
853	6449	1102
854	6457	1095
855	6465	1087
856	6472	1079
857	6479	1072
858	6485	1064
859	6491	1056
860	6499	1049
861	6507	1041
862	6514	1034
863	6522	1026
864	6530	1019
865	6538	1011
866	6547	1004
867	6554	996
868	6562	989
869	6569	981
870	6577	974
871	6584	966
872	6592	959
873	6598	951
874	6606	943
875	6614	936
876	6622	928
877	6630	921
878	6637	913
879	6647	906
880	6655	898
881	6662	891
882	6669	883
883	6677	876
884	6687	868
885	6694	861
886	6703	853
887	6711	846
888	6718	838
889	6726	831
890	6734	823
891	6742	816
892	6749	808
893	6756	801
894	6764	793
895	6770	785
896	6777	778
897	6784	770
898	6791	762
899	6798	755
900	6805	747
901	6813	740
902	6829	733
903	6846	727
904	6864	720
905	6882	714
906	6898	707
907	6911	700
908	6924	693
909	6940	686
910	6955	679
911	6965	672
912	6977	664
913	6988	657
914	7002	650
915	7018	643
916	7030	636
917	7045	629
918	7061	622
919	7073	615
920	7084	607
921	7095	600
922	7107	592
923	7116	585
924	7127	577
925	7136	570
926	7147	562
927	7158	555
928	7169	547
929	7181	540
930	7192	533
931	7207	525
932	7217	518
933	7226	510
934	7235	503
935	7244	495
936	7255	487
937	7264	480
938	7275	472
939	7285	465
940	7294	457
941	7301	449
942	7309	441
943	7316	434
944	7324	426
945	7332	418
946	7341	410
947	7350	403
948	7358	395
949	7365	387
950	7374	379
951	7382	372
952	7388	364
953	7394	356
954	7402	348
955	7410	341
956	7417	333
957	7425	325
958	7432	317
959	7439	309
960	7449	302
961	7456	294
962	7464	286
963	7472	279
964	7479	271
965	7486	263
966	7492	255
967	7499	247
968	7507	240
969	7514	232
970	7521	224
971	7529	216
972	7536	209
973	7545	201
974	7552	193
975	7559	185
976	7565	178
977	7572	170
978	7580	162
979	7587	154
980	7594	147
981	7601	139
982	7609	131
983	7616	123
984	7625	116
985	7631	108
986	7639	100
987	7646	92
988	7654	85
989	7663	77
990	7673	69
991	7682	61
992	7692	54
993	7702	46
994	7710	38
995	7719	31
996	7727	23
997	7735	15
998	7745	7
999	7755	0
