iter	Passed	Remaining
858	35075	5757
859	35117	5716
860	35161	5676
861	35201	5635
862	35241	5594
863	35282	5553
864	35323	5512
865	35366	5472
866	35408	5431
867	35447	5390
868	35493	5350
869	35531	5309
870	35570	5268
871	35610	5227
872	35650	5186
873	35688	5144
874	35730	5104
875	35768	5063
876	35807	5021
877	35844	4980
878	35882	4939
879	35922	4898
880	35966	4858
881	36004	4816
882	36056	4777
883	36094	4736
884	36134	4695
885	36176	4654
886	36220	4614
887	36260	4573
888	36299	4532
889	36338	4491
890	36378	4450
891	36419	4409
892	36455	4368
893	36497	4327
894	36545	4287
895	36595	4247
896	36636	4206
897	36683	4166
898	36727	4126
899	36771	4085
900	36811	4044
901	36849	4003
902	36889	3962
903	36928	3921
904	36971	3880
905	37011	3840
906	37050	3798
907	37091	3758
908	37133	3717
909	37175	3676
910	37217	3635
911	37259	3595
912	37302	3554
913	37343	3513
914	37389	3473
915	37430	3432
916	37471	3391
917	37515	3351
918	37556	3310
919	37592	3268
920	37631	3227
921	37673	3187
922	37715	3146
923	37755	3105
924	37797	3064
925	37841	3024
926	37885	2983
927	37927	2942
928	37968	2901
929	38008	2860
930	38050	2820
931	38094	2779
932	38137	2738
933	38179	2697
934	38219	2656
935	38260	2616
936	38298	2575
937	38341	2534
938	38382	2493
939	38420	2452
940	38460	2411
941	38499	2370
942	38537	2329
943	38578	2288
944	38616	2247
945	38656	2206
946	38694	2165
947	38732	2124
948	38775	2083
949	38815	2042
950	38855	2002
951	38898	1961
952	38938	1920
953	38982	1879
954	39045	1839
955	39087	1799
956	39130	1758
957	39170	1717
958	39215	1676
959	39253	1635
960	39292	1594
961	39333	1553
962	39373	1512
963	39415	1471
964	39461	1431
965	39505	1390
966	39545	1349
967	39587	1308
968	39625	1267
969	39662	1226
970	39711	1186
971	39751	1145
972	39790	1104
973	39828	1063
974	39866	1022
975	39904	981
976	39946	940
977	39985	899
978	40025	858
979	40063	817
980	40104	776
981	40147	735
982	40188	695
983	40229	654
984	40270	613
985	40306	572
986	40346	531
987	40388	490
988	40428	449
989	40468	408
990	40508	367
991	40547	326
992	40584	286
993	40623	245
994	40661	204
995	40701	163
996	40741	122
997	40779	81
998	40817	40
999	40868	0
